model,manuscript,seed,decode_tok_s,detected,error,findings_matched,flagged_distractors,fp_on_clean,known_artifact_findings,missed_ids,n_findings,n_seeded,num_ctx,num_predict,numeric_correct,numeric_detected,numeric_total,output_tokens,peak_vram_mib,precision_prefilter,prefill_tok_s,prompt_tokens,recall,think,thinking_chars,ttft_s,unexplained_findings,variant,wall_s
qwen3.6:35b-a3b-q4_K_M,MS-A,42,54.0,30,,24,0,,1,"V03,V15,V16,V20,V21,V25,V26,V27,V31,V36",26,40,65536,24576,6,6,7,12398,26840,0.923,1372.7,12304,0.75,,34629,15.42,2,b,261.56
qwen3.6:35b-a3b-q4_K_M,MS-B,42,48.9,,,,0,0,0,,0,,65536,24576,,,,21167,26840,,1376.6,12213,,,77245,15.91,,a,476.79
qwen3.6:35b-a3b-q4_K_M,MS-B,42,53.5,,,,0,0,0,,0,,65536,24576,,,,16433,26840,,2907.6,12413,,,60501,4.38,,b,333.22
qwen3.6:35b-a3b-q8_0,MS-A,42,35.7,26,,22,0,,1,"V09,V12,V14,V15,V16,V18,V20,V21,V24,V25,V27,V31,V33,V39",23,40,32768,16384,6,6,7,10895,39895,1.0,1257.9,12104,0.65,,32010,25.26,0,a,345.24
qwen3.6:35b-a3b-q8_0,MS-A,42,41.1,31,,24,0,,3,"V02,V06,V14,V16,V25,V27,V32,V33,V36",26,40,65536,24576,3,4,7,11384,40915,0.923,1271.6,12304,0.775,,38462,18.93,2,b,311.25
qwen3.6:35b-a3b-q8_0,MS-A,43,40.8,26,,22,0,,1,"V09,V12,V14,V15,V16,V18,V20,V21,V24,V25,V27,V31,V33,V39",23,40,65536,24576,6,6,7,10895,40915,1.0,1273.1,12104,0.65,,32010,20.43,0,a,302.21
qwen3.6:35b-a3b-q8_0,MS-A,44,40.9,26,,22,0,,1,"V09,V12,V14,V15,V16,V18,V20,V21,V24,V25,V27,V31,V33,V39",23,40,65536,24576,6,6,7,10895,40915,1.0,10244.4,12104,0.65,,32010,1.29,0,a,281.91
qwen3.6:35b-a3b-q8_0,MS-B,42,40.3,,,,2,0,2,,2,,65536,24576,,,,14148,40915,,1267.6,12213,,,52411,20.05,,a,389.86
qwen3.6:35b-a3b-q8_0,MS-B,42,41.3,,,,1,0,2,,2,,65536,24576,,,,9923,40915,,2631.1,12413,,,36375,4.82,,b,258.1
qwen3.6:35b-a3b-q8_0,MS-B,43,40.6,,,,2,0,2,,2,,65536,24576,,,,14148,40915,,2715.5,12213,,,52411,4.61,,a,371.85
qwen3.6:35b-a3b-q8_0,MS-B,44,40.6,,,,2,0,2,,2,,65536,24576,,,,14148,40915,,9771.1,12213,,,52411,1.38,,a,368.83
qwen3.8:27b,MS-A,42,32.2,32,,32,1,,2,"V15,V16,V20,V26,V27,V30,V31,V39",35,40,65536,24576,6,6,7,20831,17119,0.971,780.3,12072,0.8,,59170,21.74,1,a,668.95
qwen3.8:27b,MS-A,42,32.5,34,,36,0,,2,"V13,V15,V16,V20,V21,V26",39,40,65536,24576,7,7,7,16298,17119,0.974,773.6,12272,0.85,,44369,22.74,1,b,524.01
